exists	file_name	run_name	trip	time_per_frame	recorded_quench_frame	recorded_isotherm_frame	recorded_isotherm_time	recorded_crystallization_frame	time_quench_start	time_isotherm_reached	k_est_bulk	time_crystallization_estimate_bulk	potential_issues	popcorn	single_or_poly	run_issues	sample_size_in_cm	beam_size_in_cm	sample_volume	notebook_page_number	sample_cycle_index	sample_number	unwarped_or_raw	temperature_offset	recorded_melt	recorded_quench	corrected_melt	corrected_quench
x	230145a1.txt	230145a1	BNL 04/06	9.28	3			4	27.84	27.84	0.05506	35.9832			single	looks more single than 140	0.068	0.03	4.69E-05	81	3	1	unwarped	1	230	145	231	146
x	230150a1.txt	230150a1	BNL 04/06	9.28	3			8	27.84	27.84	0.05404	72.0775					0.068	0.03	4.69E-05	82	6	1	unwarped	1	230	150	231	151
x	230150a4.txt																											
x	230150b1.txt	230150b1	BNL 04/06	9.28	3			9	27.84	27.84							0.068	0.03	4.69E-05	82	7	1	unwarped	1	230	150	231	151
x	230155a1.txt	230155a1	BNL 04/06	9.28	3			187	27.84	27.84					single		0.068	0.03	4.69E-05	82	8	1	unwarped	1	230	155	231	156
x	230155b1.txt	230155b1	BNL 04/06	9.28	3			47	27.84	27.84							0.068	0.03	4.69E-05	83	9	1	unwarped	1	230	155	231	156
x	240090a4.txt	240090a4	BNL 04/06	9.28	3	8		8	27.84	74.24				yes		frame 8 - spots or flecks, frame 15 - 2 spots staying	0.048	0.03	3.22E-05	107	20	4	unwarped	-6	240	90	234	84
x	240100a6.txt	240100a6	BNL 04/06	9.28	3	9		9	27.84	83.52							0.048	0.03	3.22E-05	119	3	6		8	230	100	238	108
x	240100b6.txt	240100b6	BNL 04/06	9.28	3	5		7	27.84	46.4							0.048	0.03	3.22E-05	119	4	6		-3	240	100	237	97
x	240110a4.txt	240110a4	BNL 04/06	9.28	3	6.8		197	27.84	63.104				yes		some spots at 8, more spots at 11, ~20 turns into ring-like	0.048	0.03	3.22E-05	106	19	4	unwarped	4	240	110	244	114
x	240110b6.txt	240110b6	BNL 04/06	9.28	3	9		11	27.84	83.52	0.0078	48.0916					0.048	0.03	3.22E-05	122	7	6	unwarped	-6	240	110	234	104
x	240110c6.txt	240110c6	BNL 04/06	9.28	3	6		11	27.84	55.68	0.01425	85.8856					0.048	0.03	3.22E-05	123	9	6	unwarped	-5	240	110	235	105
x	240120a4.txt	240120a4	BNL 04/06	9.28	3	6		12	27.84	55.68				yes	streak	streaks	0.048	0.03	3.22E-05	103	13	4	unwarped	1	240	120	241	121
x	240120b4.txt	240120b4	BNL 04/06	9.28	3	5		18	27.84	46.4				yes	streak	streaky spots	0.048	0.03	3.22E-05	103	14	4	unwarped	1	240	120	241	121
x	240130a3.txt	240130a3	BNL 04/06	9.28	3			42	27.84	27.84			yes	yes		popcorn	0.048	0.03	3.22E-05	91	5	3	unwarped	3	240	130	243	133
x	240130a4.txt	240130a4	BNL 04/06	9.28	3	5		16	27.84	46.4				yes	single	single xtal	0.048	0.03	3.22E-05	104	15	4	unwarped	1	240	130	241	131
x	240130b4.txt	240130b4	BNL 04/06	9.28	3	6		18	27.84	55.68				yes	single	single xtal	0.048	0.03	3.22E-05	104	16	4	unwarped	1	240	130	241	131
x	240130c6.txt	240130c6	BNL 04/06	9.28	3	6		15	27.84	55.68	0.05691	136.599					0.048	0.03	3.22E-05	121	6	6	unwarped	-5	240	130	235	125
x	240140a4.txt	240140a4	BNL 04/06	9.28	3	5		100	27.84	46.4				yes		beta maybe?	0.048	0.03	3.22E-05	105	17	4	unwarped	1	240	140	241	141
x	250095a6.txt	250095a6	BNL 04/06	9.28	3	9		13	27.84	83.52	0.00588	120.068					0.048	0.03	3.22E-05	126	12	6	unwarped	-3	250	95	247	92
x	250105a6.txt	250105a6	BNL 04/06	9.28	3	7		7	27.84	64.96					single		0.048	0.03	3.22E-05	128	14	6	unwarped	-3	250	105	247	102
x	250110a6.txt	250110a6	BNL 04/06	9.28	3	8		7	27.84	74.24					single, but second xtallite started on frame 11, and more on 14		0.048	0.03	3.22E-05	134	22	6	unwarped	-5	250	110	245	105
x	250125a6.txt	250125a6	BNL 04/06	9.28	3	5		6	27.84	46.4	0.03263	59.5407			powder		0.048	0.03	3.22E-05	130	16	6	unwarped	-5	250	125	245	120
x	250125b6.txt	250125b6	BNL 04/06	9.28	3	6		18	27.84	55.68	0.0533	169.342					0.048	0.03	3.22E-05	136	24	6	unwarped	-6	250	125	244	119
x	250130a6.txt	250130a6	BNL 04/06	9.28	3	6		23	27.84	55.68	0.04842	202.768					0.048	0.03	3.22E-05	135	23	6	raw	-6	250	130	244	124
x	250135a6.txt	250135a6	BNL 04/06	9.28	3	6		11	27.84	55.68				yes		unsure what to do with temperature correction	0.048	0.03	3.22E-05	132	18	6	raw	-5	250	135	245	130
x	250-40.txt	250-40	BNL 02/07	21.5	10	12		200	215	258	6.67E-05	2000					0.048	0.03	3.22E-05	233	12	1		-3	250	40	247	37
x	250-50-1.txt	250-50-1	BNL 02/07	21.5	3		12	90	64.5	12	0.00022	1272.4					0.048	0.03	3.22E-05	227	5	1		-3	250	50	247	47
x	250-60-1.txt	250-60-1	BNL 02/07	21.5	4		14	17	86	14	0.00119	230.392		yes		unsure what to do with temperature correction	0.048	0.03	3.22E-05	227	4	1		-3	250	60	247	57
x	250-60-2.txt	250-60-2	BNL 02/07	21.5	3		13	7	64.5	13	0.00112	261.95					0.048	0.03	3.22E-05	231	10	1		-3	250	60	247	57
x	250-70-1.txt	250-70-1	BNL 02/07	21.5	3		9	6	64.5	9	0.00865	144.767		yes		unsure what to do with temperature correction	0.048	0.03	3.22E-05	227	6	1		-3	250	70	247	67
x	250-70-2.txt	250-70-2	BNL 02/07	21.5	3		11	7	64.5	11	0.0046	125.466					0.048	0.03	3.22E-05	230	9	1		-3	250	70	247	67
x	250-80-1.txt	250-80-1	BNL 02/07	21.5	3	4		4	64.5	86	0.007288	41.2523		yes		unsure what to do with temperature correction	0.048	0.03	3.22E-05	226	3	1		-3	250	80	247	77
x	250-80-2.txt	250-80-2	BNL 02/07	21.5	3		10.4	5	64.5	10.4	0.01142	65.4367					0.048	0.03	3.22E-05	230	8	1		-3	250	80	247	77
x	250-90-1.txt	250-90-1	BNL 02/07	21.5	3	4		4	64.5	86	0.01335	38.6124					0.048	0.03	3.22E-05	229	7	1		-3	250	90	247	87
x	260095a7.txt	260095a7	BNL 04/06	9.28	3	8		12	27.84	74.24			yes			beam was going through end of ingot	0.048	0.03	3.22E-05	145	1	7	unwarped	-21	260	95	239	74
x	260100a7.txt	260100a7	BNL 04/06	9.28	3	8		9	27.84	74.24					single		0.048	0.03	3.22E-05	146	2	7	unwarped	-5	260	100	255	95
x	260105a7.txt	260105a7	BNL 04/06	9.28	3	8		10	27.84	74.24	0.00965	80.1741					0.048	0.03	3.22E-05	147	3	7	unwarped	-6	260	105	254	99
x	260115a7.txt	260115a7	BNL 04/06	9.28	4	8		17	37.12	74.24	0.01979	91.8852				stayed mostly sc, no streaks	0.048	0.03	3.22E-05	149	5	7	unwarped	-6	260	115	254	109
x	260120a7.txt	260120a7	BNL 04/06	9.28	3	6		25	27.84	55.68			yes			forgot to oscillate until frame 16	0.048	0.03	3.22E-05	150	6	7	unwarped	-8	260	120	252	112
x	260130a7.txt	260130a7	BNL 04/06	9.28	3	6		36	27.84	55.68							0.048	0.03	3.22E-05	152	8	7	unwarped	-10	260	130	250	120
x	260135a7.txt	260135a7	BNL 04/06	9.28	3	5.8		10	27.84	53.824							0.048	0.03	3.22E-05	153	9	7	unwarped	-7	260	135	253	128
x	260140a7.txt	260140a7	BNL 04/06	9.28	3	5		81	27.84	46.4							0.048	0.03	3.22E-05	153	10	7	unwarped	-5	260	140	255	135
x	270105a7.txt	270105a7	BNL 04/06	9.28	3	9		10	27.84	83.52	0.01529	101.211					0.048	0.03	3.22E-05	155	13	7		-5	270	105	265	100
x	c230q100a1.txt	c230q100a1	APS 06	1	10	26		47	10	26	0.00503	19.4383				none	0.068	0.1	0.00034075	15	7	1		-4	230	100	226	96
x	c230q110a1.txt	c230q110a1	APS 06	1	10	28		40	10	28	0.008036106	30.15552006					0.068	0.1	0.00034075	19	18	1		-4	230	110	226	106
x	c230q115a1.txt	c230q115a1	APS 06	1	10	27		30	10	27	0.010542433	22.56994109				none	0.068	0.1	0.00034075	19	17	1		-4	230	115	226	111
x	c230q120a1.txt	c230q120a1	APS 06	1	10	24		40	10	24	0.007851617	21.3242797					0.068	0.1	0.00034075	18	16	1		-4	230	120	226	116
x	c230q120a6.txt	c230q120a6	APS 06	1	2	18		26	2	18	0.014107292	14.62717623					0.068	0.1	0.00034075	29	1	6		-4	230	120	226	116
x	c230q120a8.txt	c230q120a8	APS 06	1	10	26		126	10	26							0.048	0.1	0.00017558	38	5	8		-1	230	120	229	119
x	c230q120b6.txt	c230q120b6	APS 06	1	-1	13		17	-1	13	0.018105753	19.01164453					0.068	0.1	0.00034075	29	2	6		-4	230	120	226	116
x	c230q120b8.txt	c230q120b8	APS 06	1	10	27		28	10	27							0.048	0.1	0.00017558	38	6	8		-1	230	120	229	119
x	c230q125a1.txt	c230q125a1	APS 06	1	0	16		32	0	16	0.010383915	10.94515957					0.068	0.1	0.00034075	18	15	1		-4	230	125	226	121
x	c230q130a1.txt	c230q130a1	APS 06	1	10	24		26	10	24	0.016755698	17.74991031				none	0.068	0.1	0.00034075	17	14	1		-4	230	130	226	126
x	c230q130a7.txt	c230q130a7	APS 06	1	20	34		37	20	34	0.035471198	23.55632011					0.068	0.1	0.00034075	30	1	7		4	230	130	234	134
x	c230q130a8.txt	c230q130a8	APS 06	1	20	35		140	20	35				yes		none	0.048	0.1	0.00017558	37	3	8		-1	230	130	229	129
x	c230q130b7.txt	c230q130b7	APS 06	1	10	26		26	10	26	0.026034892	14.12125419					0.068	0.1	0.00034075	31	2	7		4	230	130	234	134
x	c230q130b8.txt	c230q130b8	APS 06	1	10	24		105	10	24				yes	poly	poly xtalline	0.048	0.1	0.00017558	37	4	8		-1	230	130	229	129
x	c230q130c7.txt	c230q130c7	APS 06	1	60	75		73	60	75	0.028251691	7.000001733					0.068	0.1	0.00034075	32	3	7		4	230	130	234	134
x	c230q130d7.txt	c230q130d7	APS 06	1	40	56		83	40	56	0.040925436	82.2875004					0.068	0.1	0.00034075	32	4	7		4	230	130	234	134
x	c230q130e7.txt	c230q130e7	APS 06	1	10	24		47	10	24	0.026975883	43.36328858					0.068	0.1	0.00034075	33	5	7		4	230	130	234	134
x	c230q130f7.txt	c230q130f7	APS 06	1	20	35		64	20	35	0.040408446	65.76698321					0.068	0.1	0.00034075	33	6	7		4	230	130	234	134
x	c230q135a1.txt	c230q135a1	APS 06	1	20	35		42	20	35	0.022702939	32.28269326				none	0.068	0.1	0.00034075	17	13	1		-4	230	135	226	131
x	c230q140a1.txt	c230q140a1	APS 06	1	10	25		33	10	25	0.02782916	25.29081506				none	0.068	0.1	0.00034075	17	12	1		-4	230	140	226	136
x	c230q140a8.txt	c230q140a8	APS 06	1	-303	-290		230	-303	-290				yes		none	0.048	0.1	0.00017558	35	1	8		-1	230	140	229	139
x	c230q140b8.txt	c230q140b8	APS 06	1	-3683	-3669		195	-3683	-3669			yes	yes		popcorn	0.048	0.1	0.00017558	36	2	8		-1	230	140	229	139
x	c230q140e7.txt	c230q140e7	APS 06	1	80	92		130	80	92	0.031210666	121.4094589					0.068	0.1	0.00034075	39	7	7		5	230	140	235	145
x	c230q140f7.txt	c230q140f7	APS 06	1	20	34		142	20	34	0.023299628	129.2850623			single	largely aligned single xtal	0.068	0.1	0.00034075	39	8	7		5	230	140	235	145
x	c230q140g7.txt	c230q140g7	APS 06	1	-58	-45		88	-58	-45	0.022422057	89.01566779			streak	less single	0.068	0.1	0.00034075	40	9	7		5	230	140	235	145
x	c230q140h7.txt	c230q140h7	APS 06	1	20	34		82	20	34			yes			no osc till 156	0.068	0.1	0.00034075	41	10	7		-1	230	140	229	139
x	c230q140i7.txt	c230q140i7	APS 06	1	12	25		173	12	25	0.016966245	163.0663801			single	near single xtal	0.068	0.1	0.00034075	41	11	7		5	230	140	235	145
x	c230q140j7.txt	c230q140j7	APS 06	1	-33	-45		229	-33	-45	0.038294183	210.821817			single	single xtal	0.068	0.1	0.00034075	42	12	7		5	230	140	235	145
x	c230q140k7.txt	c230q140k7	APS 06	1	-42	-28		150	-42	-28	0.016914159	133.5509285				poly xtal	0.068	0.1	0.00034075	42	13	7		5	230	140	235	145
x	c230q145b1.txt	c230q145b1	APS 06	1	30	43		49	30	43			yes		not enough data points	none	0.068	0.1	0.00034075	16	10	1		-14	230	145	216	131
x	c230q150a1.txt	c230q150a1	APS 06	1	0	12		210	0	12	0.018650203	225.1619797				none	0.068	0.1	0.00034075	16	11	1		-4	230	150	226	146
x	c230q150a2.txt	c230q150a2	APS 06	1	-29	-15		75	-29	-15			yes	yes	single	mostly sc, at least 4 xtals. Xt started from center and grew out	0.068	0.1	0.00034075	24	4	2		-14	230	150	216	136
x	c230q150a3.txt	c230q150a3	APS 06	1					0	0	0.032048609	177.9110081	yes			2 ingots separated by a bubble. Beam in one ingot	0.068	0.1	0.00034075	25	1	3		0	230	150	230	150
x	c230q150b2.txt	c230q150b2	APS 06	1	7	18		251	7	18			yes	yes		sample nucleated outside beam	0.068	0.1	0.00034075	24	5	2		3	230	150	233	153
x	c230q150c2.txt	c230q150c2	APS 06	1	-240	-228		220	-240	-228				yes		none	0.068	0.1	0.00034075	25	6	2		3	230	150	233	153
x	c230q150d2.txt	c230q150d2	APS 06	1	-660	-648		190	-660	-648				yes		none	0.068	0.1	0.00034075	26	7	2		3	230	150	233	153
x	c230q150e2.txt	c230q150e2	APS 06	1	-917	-904		209	-917	-904				yes		none	0.068	0.1	0.00034075	26	8	2		3	230	150	233	153
x	c230q150f2.txt	c230q150f2	APS 06	1	-5104	-5090		66	-5104	-5090			yes	yes		popcorn	0.068	0.1	0.00034075	27	9	2		3	230	150	233	153
x	czx1_75_a_INDEX.txt	czx1_75_a_INDEX.txt	bnl 6-03						0	0															230	75	230	75
x	czx1_a_75.txt	czx1_a_75	BNL 6-02						0	0														0	230	75	230	75
x	czx1-10_230-135-#2_90kev_2s_128.txt	czx1-10_230-135-#2_90kev_2s_128	aps 09	4	1.5	5		94	6	20	0.056559727	373.2723219					0.068	0.1	0.00034075	9	6	1		0	230	135	230	135
x	czx1-10_230-135_90kev_2s_366.txt	czx1-10_230-135_90kev_2s_366	aps 09	2	2	13		319	4	26	0.053145416	630.6164705					0.068	0.1	0.00034075	9	5	1		0	230	135	230	135
x	czx1-10_230-145-#2_90kev_4s_139f.txt	czx1-10_230-145-#2_90kev_4s_139f	aps 09	4	1	5		116	4	20	0.050953735	458.5905994					0.068	0.1	0.00034075	10	8	1		0	230	145	230	145
x	czx1-10_230-145_90kev_4s_185f.txt	czx1-10_230-145_90kev_4s_185f	aps 09	4	1	3		131	4	12	0.046086959	516.7278942					0.068	0.1	0.00034075	10	7	1		0	230	145	230	145
x	czx1-10_230-150_4s_158f.txt	czx1-10_230-150_4s_158f	aps 09	4	1	4		123	4	16	0.032118391	484.8574116					0.068	0.1	0.00034075	10	9	1		0	230	150	230	150
x	czx1-10_230-155_90keV_4s.txt	czx1-10_230-155_90keV_4s	aps 09	4					0	0			yes			didn't crystallize until the temperature was lowered	0.068	0.1	0.00034075	8	4	1		-5	230	155	225	150
x	czx1-10_230-80-#2_90kev_2s_300f.txt	czx1-10_230-80-#2_90kev_2s_300f	aps 09	2	2	7		40	4	14	0.002658282	16.33912041					0.068	0.1	0.00034075	8	3	1		0	230	80	230	80
x	czx1-10_230-80_90kev_2s_300.txt	czx1-10_230-80_90kev_2s_300	aps 09	2	3	9		34	6	18	0.002935576	40.66981057					0.068	0.1	0.00034075	7	2	1		0	230	80	230	80
x	czx1-5_230_150_774.txt	czx1-5_230_150_774.txt	bnl 11/08						0	0			yes			4.5:1:1 ZnCl2:TMA:CuCl						1			230	150	230	150
x	czx1-5_230_155_775.txt	czx1-5_230_150_774.txt	bnl 11/08						0	0			yes			4.5:1:1 ZnCl2:TMA:CuCl						1			230	155	230	155
		230100b1	BNL 04/06	9.28	3	6		5	27.84	55.68			yes			very poor fit	0.068	0.03	4.69E-05	84	12	1	raw	1	230	100	231	101
		230160a1	BNL 04/06	9.28	3			497	27.84	27.84			yes			never crystallized	0.068	0.03	4.69E-05	83	10	1	?	1	230	160	231	161
		c230q100b1	APS 06	1	0	16		60	0	16						none	0.068	0.1	0.00034075	15	8	1		-14	230	100	216	86
		c230q145a1	APS 06	1	0	16		30	0	16			yes		can't fit the curve	forgot to oscillate	0.068	0.1	0.00034075	15	9	1		-14	230	145	216	131
		230085b4	BNL 04/06	9.28	4	10		20	37.12	92.8			yes	yes		bizzare behavior ~ frame 75	0.048	0.03	3.22E-05	97	8	4	unwarped	2	230	85	232	87
		230140b4	BNL 04/06	9.28	3	5			27.84	46.4				yes		not enough data points to analyze and beta crystal to alpha crystal	0.048	0.03	3.22E-05	102	13	4	unwarped	2	230	140	232	142
		240095a6	BNL 04/06	9.28	3	7		13	27.84	64.96			yes		single	strange behavior at a~30%, can't fit the transformation	0.048	0.03	3.22E-05	125	11	6	unwarped	-3	250	95	247	92
		260090a7	BNL 04/06	9.28	3	10		10	27.84	92.8			yes			can't fit	0.048	0.03	3.22E-05	154	11	7		-7	260	90	253	83
		260110a7	BNL 04/06	9.28	3	8		11	27.84	74.24						spotty streaks	0.048	0.03	3.22E-05	148	4	7	unwarped	-7	260	110	253	103
		270115a7	BNL 04/06	9.28	3	7		21	27.84	64.96							0.048	0.03	3.22E-05	156	14	7		-5	270	115	265	110
